Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,27.020000,27.020000,24.865000,25.245001,18.658888,28464600
2007-01-04,24.700001,25.490000,24.424999,25.480000,18.832573,22003400
2007-01-05,25.879999,26.209999,24.969999,25.740000,19.024746,15240400
2007-01-08,25.975000,26.200001,25.700001,26.125000,19.309305,15164600
2007-01-09,26.075001,26.275000,25.635000,25.950001,19.179953,13737600
2007-01-10,25.905001,26.680000,25.504999,26.594999,19.656687,12428200
2007-01-11,26.309999,27.129999,26.100000,26.895000,19.996094,10709600
2007-01-12,26.799999,27.740000,26.709999,27.504999,20.449621,10880000
2007-01-16,27.400000,27.525000,26.635000,26.700001,19.851109,18183400
2007-01-17,26.764999,26.825001,26.025000,26.745001,19.884565,15846800
2007-01-18,26.975000,26.990000,25.965000,26.290001,19.546286,14200000
2007-01-19,26.500000,27.504999,26.440001,26.975000,20.055571,12140800
2007-01-22,26.549999,26.905001,26.125000,26.375000,19.609474,12046200
2007-01-23,26.555000,27.600000,26.555000,27.485001,20.434752,16740600
2007-01-24,27.625000,28.305000,27.275000,28.170000,20.944040,17032200
2007-01-25,28.475000,29.280001,28.350000,29.190001,21.702393,27373000
2007-01-26,28.900000,29.270000,28.584999,29.245001,21.743282,13011200
2007-01-29,28.635000,28.865000,27.455000,27.545000,20.479357,20710800
2007-01-30,28.000000,28.504999,27.445000,28.250000,21.003517,17590800
2007-01-31,28.150000,28.780001,28.059999,28.754999,21.378981,11152400
2007-02-01,28.910000,29.025000,28.360001,28.385000,21.103886,14710000
2007-02-02,27.750000,28.045000,27.500000,27.620001,20.535116,16884400
2007-02-05,27.900000,27.980000,27.115000,27.280001,20.282339,11303400
2007-02-06,27.504999,27.594999,27.084999,27.205000,20.226568,10537200
2007-02-07,27.205000,27.459999,26.875000,26.980000,20.059286,8177800
2007-02-08,27.040001,27.040001,26.559999,26.715000,19.862268,16145400
2007-02-09,27.004999,27.315001,26.565001,26.825001,19.944042,16154000
2007-02-12,26.325001,27.000000,26.325001,26.625000,19.795347,6465600
2007-02-13,27.070000,28.225000,27.010000,28.094999,20.888273,17715000
2007-02-14,28.205000,28.525000,27.775000,28.315001,21.051840,18643000
2007-02-15,28.850000,29.299999,28.600000,28.920000,21.501650,17631800
2007-02-16,28.615000,29.065001,28.549999,28.780001,21.397558,7601600
2007-02-20,28.450001,28.565001,28.125000,28.245001,20.999802,7207600
2007-02-21,28.245001,29.370001,28.174999,29.240000,21.739573,12540400
2007-02-22,29.559999,30.045000,29.459999,29.780001,22.141056,14293400
2007-02-23,29.905001,30.250000,29.785000,29.955000,22.271164,10163800
2007-02-26,30.510000,30.995001,30.165001,30.959999,23.018364,21867400
2007-02-27,29.775000,29.980000,27.625000,27.875000,20.724705,29186000
2007-02-28,28.055000,28.785000,27.379999,28.705000,21.341799,22113000
2007-03-01,28.000000,28.670000,27.565001,28.110001,20.899427,15155000
2007-03-02,27.985001,28.490000,27.260000,27.315001,20.308355,16601000
2007-03-05,26.674999,27.315001,26.254999,26.545000,19.735868,19783600
2007-03-06,27.350000,27.889999,27.174999,27.719999,20.609468,11348000
2007-03-07,27.844999,28.504999,27.635000,28.094999,20.888273,10921200
2007-03-08,28.680000,29.475000,28.500000,28.825001,21.431021,21505200
2007-03-09,29.150000,29.150000,28.125000,28.370001,21.092733,17758400
2007-03-12,28.370001,29.365000,28.150000,28.969999,21.538824,18897400
2007-03-13,28.760000,29.450001,28.004999,28.010000,20.825083,13800200
2007-03-14,28.030001,28.434999,27.055000,28.190001,20.958906,27740800
2007-03-15,28.719999,30.340000,28.559999,30.080000,22.364094,36365600
2007-03-16,30.184999,30.945000,29.910000,30.355000,22.568554,24904800
2007-03-19,30.920000,31.575001,30.010000,31.219999,23.211672,40353200
2007-03-20,31.135000,31.645000,30.900000,31.180000,23.181932,25441000
2007-03-21,31.330000,31.379999,30.430000,31.285000,23.260000,25621200
2007-03-22,31.500000,31.834999,30.930000,30.955000,23.014650,32919400
2007-03-23,30.725000,31.219999,30.650000,31.150000,23.159630,93676200
2007-03-26,31.600000,32.549999,31.295000,32.349998,24.051811,57039400
2007-03-27,32.375000,32.459999,31.754999,32.360001,24.059250,43360400
2007-03-28,32.500000,32.500000,31.875000,32.105000,23.869656,22881600
2007-03-29,32.740002,33.174999,32.244999,32.674999,24.293446,33799000
2007-03-30,32.994999,33.595001,32.959999,33.095001,24.605713,27500000
2007-04-02,33.240002,33.470001,32.810001,33.365002,24.806454,23596600
2007-04-03,33.650002,34.044998,33.500000,33.700001,25.055523,22987600
2007-04-04,33.750000,33.930000,33.270000,33.799999,25.129869,25306600
2007-04-05,33.794998,34.250000,33.665001,33.785000,25.118719,20708200
2007-04-09,34.040001,34.625000,34.005001,34.490002,25.642874,17842600
2007-04-10,34.869999,35.485001,34.785000,35.230000,26.193060,39401400
2007-04-11,35.549999,35.669998,34.755001,34.965000,25.996033,38743200
2007-04-12,34.845001,35.080002,34.450001,34.924999,26.083042,24199200
