Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,45.500000,45.669998,43.730000,44.200001,36.050026,7628200
2007-01-04,43.970001,44.419998,43.540001,44.000000,35.886906,6392300
2007-01-05,43.310001,43.689999,42.849998,43.650002,35.601440,7844800
2007-01-08,43.400002,43.450001,42.459999,42.840000,34.940804,7591200
2007-01-09,42.849998,43.270000,42.400002,42.970001,35.046822,6947000
2007-01-10,42.970001,42.980000,41.910000,42.369999,34.557461,7960200
2007-01-11,42.389999,43.160000,42.310001,42.520000,34.679810,5681800
2007-01-12,42.599998,43.400002,42.540001,43.209999,35.242558,5000800
2007-01-16,43.200001,43.209999,42.160000,42.570000,34.720573,4929100
2007-01-17,42.720001,43.349998,42.540001,42.779999,34.891857,5324300
2007-01-18,43.209999,43.340000,42.160000,42.419998,34.598248,6488400
2007-01-19,42.419998,43.299999,42.349998,43.240002,35.267040,6598700
2007-01-22,43.340000,43.820000,42.689999,43.060001,35.120224,6585200
2007-01-23,43.650002,44.250000,43.650002,44.040001,35.919537,7409500
2007-01-24,43.900002,44.770000,43.610001,44.610001,36.384418,6135200
2007-01-25,44.840000,45.029999,43.900002,44.220001,36.066341,7155100
2007-01-26,44.209999,44.500000,43.860001,44.259998,36.098957,3569600
2007-01-29,44.250000,44.750000,43.820000,43.880001,35.789036,5774600
2007-01-30,44.049999,44.900002,44.049999,44.750000,36.498623,6007200
2007-01-31,44.500000,45.500000,44.450001,45.099998,36.784077,5645200
2007-02-01,45.849998,45.889999,45.080002,45.150002,36.824848,7261800
2007-02-02,45.150002,45.150002,44.470001,44.889999,36.612812,5006500
2007-02-05,45.090000,45.180000,44.549999,44.709999,36.465984,3574500
2007-02-06,45.130001,45.180000,44.599998,44.880001,36.604649,3976100
2007-02-07,44.810001,45.310001,44.639999,44.959999,36.669884,4209300
2007-02-08,45.119999,45.959999,44.720001,45.810001,37.363167,7455700
2007-02-09,46.000000,46.630001,45.750000,45.810001,37.363167,6924800
2007-02-12,45.779999,46.049999,45.090000,45.340000,36.979816,4729000
2007-02-13,45.560001,46.049999,45.529999,45.910000,37.444717,4272400
2007-02-14,46.200001,46.560001,45.779999,46.299999,37.762821,7386600
2007-02-15,46.419998,46.560001,46.049999,46.509998,37.934086,4202300
2007-02-16,46.419998,46.419998,46.009998,46.259998,37.730190,4380600
2007-02-20,45.869999,46.040001,45.509998,45.900002,37.436562,4906500
2007-02-21,45.939999,47.470001,45.500000,46.980000,38.317432,7585600
2007-02-22,47.900002,48.330002,47.439999,47.709999,38.912827,9992300
2007-02-23,47.770000,48.119999,46.580002,46.849998,38.211403,8708100
2007-02-26,47.020000,47.259998,46.410000,47.060001,38.382683,7436100
2007-02-27,45.959999,46.200001,43.790001,44.299999,36.131592,12343900
